name,link_product,price,odometer,transmissions,fuel_type,car_type,update_date,dealership,year_made,brand
CX-5,https://www.cars24.com.au/buy-used-mazda-cx-5-car-19935252251904/,31190,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2022,Mazda
CX-3,https://www.cars24.com.au/buy-used-mazda-cx-3-car-19869264021312/,26490,"20,001 - 40,000",Automatic,Petrol,SUV,20251118,cars24,2022,Mazda
Sportage,https://www.cars24.com.au/buy-used-kia-sportage-car-19619807487616/,42690,"20,001 - 40,000",Automatic,Diesel,SUV,20251118,cars24,2022,Kia
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19925660851200/,28990,"80,001 - 100,000",Automatic,Hybrid,SUV,20251118,cars24,2020,Toyota
X-trail,https://www.cars24.com.au/buy-used-nissan-x-trail-car-19496966446400/,24490,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2021,Nissan
Sportage,https://www.cars24.com.au/buy-used-kia-sportage-car-20038580293056/,36590,"20,001 - 40,000",Automatic,Petrol,SUV,20251118,cars24,2022,Kia
Acadia,https://www.cars24.com.au/buy-used-holden-acadia-car-19223850713280/,16990,"160,001 - 180,000",Automatic,Petrol,SUV,20251118,cars24,2019,Holden
Hs,https://www.cars24.com.au/buy-used-mg-hs-+ev-car-17808737144576/,23799,"20,001 - 40,000",Automatic,Hybrid,SUV,20251118,cars24,2022,MG
Forester,https://www.cars24.com.au/buy-used-subaru-forester-car-19960115796544/,24390,"100,001 - 120,000",Automatic,Petrol,SUV,20251118,cars24,2019,Subaru
RAV4,https://www.cars24.com.au/buy-used-toyota-rav4-car-19732071631552/,39290,"20,001 - 40,000",Automatic,Hybrid,SUV,20251118,cars24,2020,Toyota
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19164538696448/,26295,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2022,Toyota
Tiguan,https://www.cars24.com.au/buy-used-volkswagen-tiguan-car-19900510494592/,24790,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2018,Volkswagen
Sportage,https://www.cars24.com.au/buy-used-kia-sportage-car-19504351942016/,19690,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2017,Kia
HS,https://www.cars24.com.au/buy-used-mg-hs-car-19756121771904/,19990,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2021,MG
HS,https://www.cars24.com.au/buy-used-mg-hs-car-19549872854784/,18790,"40,001 - 60,000",Automatic,Petrol,SUV,20251118,cars24,2022,MG
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19549900247872/,34790,"60,001 - 80,000",Automatic,Hybrid,SUV,20251118,cars24,2023,Toyota
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19146162766912/,32690,"40,001 - 60,000",Automatic,Hybrid,SUV,20251118,cars24,2022,Toyota
Sportage,https://www.cars24.com.au/buy-used-kia-sportage-car-18996553425600/,20690,"60,001 - 80,000",Automatic,Petrol,SUV,20251118,cars24,2018,Kia
C-HR,https://www.cars24.com.au/buy-used-toyota-c-hr-car-19223594467904/,33190,"60,001 - 80,000",Automatic,Hybrid,SUV,20251118,cars24,2022,Toyota
